Secteur,Métier,Compétence,Nombre d'offres,Salaire Moyen (MAD),Évolution
Santé,Médecin Spécialiste,Radiologie,474,18614,En chute
Santé,Infirmier Urgentiste,Réanimation,466,14284,En chute
Agriculture,Technicien d’Irrigation,Hydraulique,792,5646,En chute
Transport,Planificateur de Transport,Systèmes Intelligents,787,10782,Stable
Finance,Consultant en Finance,Investissements,282,13622,En forte hausse
Éducation,Formateur Digital,Pédagogie,782,15625,En chute
Transport,Gestionnaire Logistique,Transport International,497,7404,En légère baisse
Commerce,Responsable Marketing Digital,SEO,255,19618,En forte hausse
Éducation,Formateur Digital,Gestion de Contenu,945,5175,En chute
Finance,Auditeur,Normes Comptables,321,18812,En chute
Agriculture,Consultant en AgriTech,Drones Agricoles,168,11982,En forte hausse
Technologie,Expert Cybersécurité,Ethical Hacking,142,15235,En chute
Tourisme,Agent de Voyage Digital,Stratégie Digitale,970,23898,Stable
Industrie,Technicien Robotique,Maintenance Industrielle,634,8982,En légère baisse
