Secteur,Métier,Compétence,Nombre d'offres,Salaire Moyen (MAD),Évolution
Santé,Médecin Spécialiste,Radiologie,474,18614,En chute
Santé,Infirmier Urgentiste,Réanimation,466,14284,En chute
Agriculture,Technicien d’Irrigation,Hydraulique,792,5646,En chute
Transport,Planificateur de Transport,Systèmes Intelligents,787,10782,Stable
Finance,Consultant en Finance,Investissements,282,13622,En forte hausse
Éducation,Formateur Digital,Pédagogie,782,15625,En chute
Transport,Gestionnaire Logistique,Transport International,497,7404,En légère baisse
Commerce,Responsable Marketing Digital,SEO,255,19618,En forte hausse
Éducation,Formateur Digital,Gestion de Contenu,945,5175,En chute
Finance,Auditeur,Normes Comptables,321,18812,En chute
Agriculture,Consultant en AgriTech,Drones Agricoles,168,11982,En forte hausse
Technologie,Expert Cybersécurité,Ethical Hacking,142,15235,En chute
Tourisme,Agent de Voyage Digital,Stratégie Digitale,970,23898,Stable
Industrie,Technicien Robotique,Maintenance Industrielle,634,8982,En légère baisse
Tourisme,Spécialiste Tourisme Durable,RSE,407,14211,En chute
Finance,Consultant en Finance,Modélisation Financière,949,21312,En chute
Éducation,Professeur Universitaire,Rédaction Scientifique,331,7348,En forte hausse
Commerce,Chef de Rayon,Relation Client,969,17817,En forte hausse
Technologie,Ingénieur Data,Python,538,12867,En légère baisse
Tourisme,Agent de Voyage Digital,Stratégie Digitale,752,13477,En chute
Industrie,Ingénieur Process,Optimisation Industrielle,902,16879,En chute
Industrie,Ingénieur Process,Six Sigma,477,13867,En légère baisse
Technologie,Développeur Web,JavaScript,567,10620,En légère baisse
Transport,Planificateur de Transport,Systèmes Intelligents,209,24110,En forte hausse
Technologie,Ingénieur Data,Machine Learning,981,15269,Stable
Santé,Infirmier Urgentiste,Traumatologie,134,6150,En légère baisse
Santé,Technicien de Laboratoire,Microbiologie,601,10070,En chute
Technologie,Développeur Web,React,701,12576,Stable
Technologie,Développeur Web,React,107,11897,En légère baisse
Technologie,Ingénieur Data,Big Data,936,22735,En légère baisse
Technologie,Développeur Web,JavaScript,724,15747,En chute
Santé,Médecin Spécialiste,Chirurgie,756,9124,En légère baisse
Éducation,Formateur Digital,Pédagogie,759,13842,En forte hausse
Technologie,Ingénieur Data,Python,336,22272,En légère baisse
Industrie,Opérateur CNC,Fraisage,773,21059,Stable
Santé,Médecin Spécialiste,Oncologie,980,21698,Stable
Agriculture,Technicien d’Irrigation,Automatisation Agricole,896,14386,Stable
Technologie,Ingénieur Data,Machine Learning,518,8403,En chute
Technologie,Ingénieur Data,Machine Learning,561,23568,En chute
